candle_begin_time_GMT8,open,high,low,close,volume,quote_volume,num,initiative_vol,initiative_quote_vol,signal,strategy_name,para,time_interval,offset_time,account_name,symbol
2021-12-14 23:10:00,522.2,524.0,520.2,523.7,13451.268,7015182.6742,9296.0,7094.46,3700130.5493,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-14 23:25:00,523.8,525.4,522.4,522.8,15620.536,8184388.289199999,10200.0,7899.288,4139819.1059,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-14 23:40:00,522.8,523.0,518.1,518.3,17130.195,8914195.239,10236.0,8084.199,4206207.8376,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-14 23:55:00,518.3,520.8,516.0,519.9,16269.5,8421505.1033,10848.0,8638.495,4472346.8078999985,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 00:10:00,519.8,520.3,515.0,516.4,11814.65,6113891.9731,8838.0,5367.42,2778176.4512,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 00:25:00,516.4,521.9,516.0,521.1,14757.213,7666546.1548,9097.0,8440.555,4385326.7519000005,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 00:40:00,521.0,521.8,518.0,518.4,9364.585,4873079.5503,7595.0,4569.7750000000015,2378328.4713,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 00:55:00,518.4,519.8,516.2,519.5,9331.817,4831284.1761,7548.0,4439.265,2298497.8026,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 01:10:00,519.4,520.3,518.0,520.1,7696.036999999999,3994908.9245,5922.0,4335.001,2250469.7089,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 01:25:00,520.1,520.1,517.6,517.7,5844.014,3034291.1161,5459.0,2990.547,1552735.8582,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 01:40:00,517.7,519.2,515.7,517.0,10536.415,5448230.7513,6715.0,6125.090999999999,3166877.1621,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 01:55:00,517.0,517.3,513.2,517.1,12285.018999999998,6329278.7644,9337.0,5482.132,2824557.5458000004,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 02:10:00,517.1,517.4,513.8,513.9,6670.797000000001,3441296.0699000005,6208.0,3142.123,1621146.5393,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 02:25:00,513.8,516.6,510.4,511.5,14495.125,7431396.218499999,10629.0,7183.576,3683793.9953,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 02:40:00,511.5,512.8,509.7,511.7,12969.48,6630601.6201,9564.0,5626.999,2878062.548,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 02:55:00,511.7,513.5,510.4,512.3,8854.393,4533592.8198,6521.0,4473.867,2290497.7632,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 03:10:00,512.3,513.7,511.7,512.1,7471.1140000000005,3830814.6401,6033.0,3556.1859999999997,1823750.8423,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 03:25:00,512.2,514.8,512.1,512.8,7855.53,4033547.4457,6241.0,4130.035,2120730.5142,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 03:40:00,512.8,514.0,510.8,512.3,7401.3719999999985,3792150.4777,5778.0,3378.0250000000005,1730673.4848000002,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 03:55:00,512.2,515.5,512.0,514.6,10946.448999999999,5625663.142899998,7531.0,5646.62,2902310.8722,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 04:10:00,514.6,515.5,512.9,515.2,9459.005,4866001.6425,6443.0,4279.822,2201728.4791,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 04:25:00,515.2,521.4,514.3,521.1,15558.393,8061228.0556,10588.0,8551.836,4431910.4561,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 04:40:00,521.1,521.1,518.0,518.1,13005.659,6758857.3657,7938.0,6518.154,3387719.2392,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 04:55:00,518.1,522.9,518.1,522.2,8853.378,4607960.3529,6965.0,4790.085000000001,2493034.9678,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 05:10:00,522.0,524.6,521.9,523.7,13233.698,6925407.8825,8584.0,7029.413000000001,3678554.0062,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 05:25:00,523.7,528.8,523.0,528.5,17873.781000000006,9404094.6471,11256.0,10134.265,5332116.3536,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 05:40:00,528.5,529.3,525.1,525.7,15222.325,8031638.0961,9716.0,7063.683000000001,3726640.3293,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 05:55:00,525.7,527.7,524.1,527.7,10407.834,5469039.5499,7818.0,5178.931000000001,2721692.1160000004,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 06:10:00,527.5,527.8,525.3,525.6,6816.3600000000015,3589002.4347,7058.0,3246.506,1709547.0168,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 06:25:00,525.6,525.6,522.9,525.0,5531.259,2900182.9272,6468.0,2834.877,1486666.448,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 06:40:00,524.9,526.9,523.4,526.3,4391.361,2307429.7824,4623.0,2329.116,1223849.2069,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 06:55:00,526.3,527.0,525.0,526.3,4999.746,2630302.6802,4863.0,3017.449,1587482.9386999996,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 07:10:00,526.4,527.5,525.3,526.4,4468.308,2352012.2385,4402.0,2387.061,1256467.374,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 07:25:00,526.4,526.9,525.2,525.6,5929.531999999998,3119098.3213,4451.0,3473.0199999999995,1826963.231,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 07:40:00,525.7,528.1,525.3,527.9,7767.71,4093014.6347,4952.0,4681.468000000002,2467116.2151,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 07:55:00,527.9,529.1,526.3,528.9,8675.686,4579096.6565,5782.0,4559.078,2406582.0369,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 08:10:00,528.9,532.2,527.0,531.6,13743.436000000002,7277698.079100002,8659.0,6859.963000000001,3633113.5559,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 08:25:00,531.6,531.8,528.9,529.2,7935.514,4209452.2733,5853.0,3864.927,2049872.0465,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 08:40:00,529.2,529.4,527.3,528.3,7051.681000000001,3726320.1791,5288.0,3222.889,1703099.0268,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 08:55:00,528.3,528.8,526.6,528.2,6517.8110000000015,3437970.405500001,4953.0,3430.987,1809836.0979,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 09:10:00,528.1,528.2,525.7,527.4,7375.205999999999,3886860.2856,4440.0,4015.686,2116057.8644000003,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 09:25:00,527.4,528.5,526.6,526.8,4984.1179999999995,2629365.2552,4797.0,2212.541,1167163.9833,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 09:40:00,526.9,527.3,525.4,526.2,7278.396000000002,3831169.1898,5323.0,4039.958,2126506.4878,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
2021-12-15 09:55:00,526.2,528.3,524.3,525.5,10066.659,5299473.4678,7170.0,5121.467000000001,2696655.7524,,real_signal_none,[20],15m,-5m,son5,BNBUSD_PERP
